====================================================================================================
 🎯 IMU Phase 3.2 2D Window Grid Analysis Report (Refactored)
====================================================================================================
Data Source: D:\바탕화면\CS-Study-Tracker\IMU\verification_tool\output\collected_data_100s.npz
Grid Scan Resolution: 9 x 9 (81 points)
----------------------------------------------------------------------------------------------------
T_cal [s]   T_est [s]   Acc RMSE [mg]     Mag RMSE       Pure q_RMSE [deg]   
----------------------------------------------------------------------------------------------------
0.15        0.15        4.3557            0.000681       17.2943             
0.15        0.75        4.3525            0.000681       17.2943             
0.15        1.50        4.3520            0.000681       17.2943             
0.15        3.00        4.3515            0.000681       17.2942             
0.15        4.50        4.3516            0.000681       17.2944             
0.15        6.00        4.3460            0.000681       17.2945             
0.15        9.00        4.3429            0.000681       17.2947             
0.15        12.00       4.3458            0.000681       17.2945             
0.15        15.00       4.3507            0.000681       17.2942             
0.75        0.15        4.3935            0.000682       17.2929             
0.75        0.75        4.3525            0.000681       17.2943             
0.75        1.50        4.3520            0.000681       17.2943             
0.75        3.00        4.3515            0.000681       17.2943             
0.75        4.50        4.3516            0.000681       17.2944             
0.75        6.00        4.3460            0.000681       17.2945             
0.75        9.00        4.3429            0.000681       17.2947             
0.75        12.00       4.3458            0.000681       17.2945             
0.75        15.00       4.3507            0.000681       17.2942             
1.50        0.15        4.3842            0.000685       17.2930             
1.50        0.75        4.3549            0.000685       17.2947             
1.50        1.50        4.3520            0.000685       17.2948             
1.50        3.00        4.3515            0.000685       17.2948             
1.50        4.50        4.3516            0.000685       17.2949             
1.50        6.00        4.3460            0.000685       17.2950             
1.50        9.00        4.3429            0.000685       17.2952             
1.50        12.00       4.3458            0.000685       17.2950             
1.50        15.00       4.3507            0.000685       17.2947             
3.00        0.15        4.3986            0.000682       17.2912             
3.00        0.75        4.3858            0.000682       17.2928             
3.00        1.50        4.3546            0.000681       17.2942             
3.00        3.00        4.3515            0.000681       17.2942             
3.00        4.50        4.3516            0.000681       17.2944             
3.00        6.00        4.3460            0.000681       17.2945             
3.00        9.00        4.3429            0.000681       17.2947             
3.00        12.00       4.3458            0.000681       17.2944             
3.00        15.00       4.3507            0.000681       17.2942             
4.50        0.15        4.3964            0.000695       17.2925             
4.50        0.75        4.3863            0.000695       17.2942             
4.50        1.50        4.3753            0.000695       17.2945             
4.50        3.00        4.3435            0.000694       17.2964             
4.50        4.50        4.3511            0.000694       17.2961             
4.50        6.00        4.3454            0.000694       17.2962             
4.50        9.00        4.3423            0.000694       17.2964             
4.50        12.00       4.3452            0.000694       17.2962             
4.50        15.00       4.3502            0.000694       17.2959             
6.00        0.15        4.3995            0.000684       17.2894             
6.00        0.75        4.3820            0.000682       17.2917             
6.00        1.50        4.3914            0.000683       17.2922             
6.00        3.00        4.3721            0.000683       17.2929             
6.00        4.50        4.3456            0.000682       17.2941             
6.00        6.00        4.3478            0.000682       17.2938             
6.00        9.00        4.3447            0.000682       17.2940             
6.00        12.00       4.3476            0.000682       17.2938             
6.00        15.00       4.3525            0.000682       17.2936             
9.00        0.15        4.4119            0.000697       17.2892             
9.00        0.75        4.3955            0.000697       17.2924             
9.00        1.50        4.3788            0.000696       17.2936             
9.00        3.00        4.3885            0.000697       17.2941             
9.00        4.50        4.3745            0.000697       17.2941             
9.00        6.00        4.3687            0.000697       17.2948             
9.00        9.00        4.3420            0.000696       17.2960             
9.00        12.00       4.3449            0.000696       17.2958             
9.00        15.00       4.3499            0.000696       17.2955             
12.00       0.15        4.4143            0.000697       17.2891             
12.00       0.75        4.3980            0.000696       17.2923             
12.00       1.50        4.3814            0.000695       17.2935             
12.00       3.00        4.3910            0.000696       17.2939             
12.00       4.50        4.3771            0.000696       17.2939             
12.00       6.00        4.3714            0.000696       17.2947             
12.00       9.00        4.3447            0.000695       17.2959             
12.00       12.00       4.3476            0.000695       17.2956             
12.00       15.00       4.3525            0.000695       17.2954             
15.00       0.15        4.4127            0.000682       17.2878             
15.00       0.75        4.3961            0.000681       17.2911             
15.00       1.50        4.3796            0.000681       17.2923             
15.00       3.00        4.3892            0.000681       17.2927             
15.00       4.50        4.3753            0.000682       17.2927             
15.00       6.00        4.3695            0.000681       17.2934             
15.00       9.00        4.3429            0.000681       17.2946             
15.00       12.00       4.3458            0.000681       17.2944             
15.00       15.00       4.3507            0.000681       17.2941             
====================================================================================================
